"Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Promo rebates - ","Promo rebates - Shipping","Other - Shipping","Amazon fees - FBA Order Handling Fee","Amazon fees - Shipping Chargeback","Amazon fees - FBA transportation fee"
-$1.34,14-Apr-16,110-6055476-6266668,FV-XXFT-7P69,"Order Payment","Product charges",,$8.95,1,"My Little Pony Soft Tote Lunch Box",-$1.06,-$0.96,$0.00,,$3.64,-$1.00,-$3.64,
,,,,,,,,,,-$0.75,,,,,-$4.75,,-$0.45
-$4.50,14-Apr-16,111-8154218-2074654,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,13-Apr-16,106-4870555-0285811,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$2.55,13-Apr-16,002-2594876-4319437,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,13-Apr-16,112-9257509-1099430,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,$3.99,,-$3.99,
-$7.50,13-Apr-16,103-0285446-8858631,VO6-KH8-U2Q,"Order Payment","Product charges",,$49.99,1,"Oster 8-Speed Blender",,,,,,,,
-$6.00,13-Apr-16,112-1783078-8033856,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$2.55,13-Apr-16,114-3404032-7843416,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,,,,
-$1.00,13-Apr-16,115-6036581-9785859,NC-MU4S-M0SS,"Order Payment","Product charges",,$5.99,1,"Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes",,,,,,,,
-$4.50,13-Apr-16,002-3387262-1504246,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,$7.19,,-$7.19,
-$4.50,13-Apr-16,103-2077608-4477803,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,13-Apr-16,002-2775859-6889855,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$1.34,12-Apr-16,111-2314124-5179436,FV-XXFT-7P69,"Order Payment","Product charges",,$8.95,1,"My Little Pony Soft Tote Lunch Box",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,12-Apr-16,113-1834041-2205844,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,-$3.24,$3.24,,,
-$3.00,12-Apr-16,106-2626540-9573856,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,12-Apr-16,112-8554539-7298658,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$12.00,12-Apr-16,105-0795528-6400223,3Y-2VGV-AZ21,"Order Payment","Product charges",,$79.98,2,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$8.18,-$8.02,,,,,,
-$6.00,12-Apr-16,116-1674871-5299462,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$3.75,12-Apr-16,114-0912233-1502657,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",-$1.06,-$0.96,,,,-$1.00,,
-$3.30,12-Apr-16,102-1393247-8855457,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",-$2.12,-$4.29,,,,-$1.00,,
-$4.50,12-Apr-16,111-8136600-2798613,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,12-Apr-16,106-1277920-0791462,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
,,,,,,,,,,-$0.75,,,,,-$4.75,,-$0.45
,,,,,,,,,,-$0.75,,,,,-$4.75,,-$0.45
-$7.05,12-Apr-16,114-0521579-9366606,IM-VFRS-GRIO,"Order Payment","Product charges",,$46.99,1,"Humanscale Zon Air Purifier in Red",-$4.09,-$8.69,,,,,,
-$9.00,12-Apr-16,111-5157799-1432206,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$8.18,-$7.24,,,,,,
-$1.50,12-Apr-16,106-1354958-4717803,70-FVIS-6TNP,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,,,,
-$1.78,12-Apr-16,002-4001007-3336264,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",-$1.06,-$1.95,,,,-$1.00,,
-$6.00,12-Apr-16,114-3900731-0185801,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,$3.19,,-$3.19,
-$6.00,11-Apr-16,111-2304698-3005861,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$4.50,11-Apr-16,110-7856701-0748219,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,115-9452433-0197049,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,107-6113273-2977069,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,002-1630351-7490615,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$5.70,11-Apr-16,104-9594395-5654661,JE-0F9S-TM6N,"Order Payment","Product charges",,$37.98,2,"Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Red,)",-$2.12,-$1.92,,,,-$1.00,,
-$4.50,11-Apr-16,105-0037496-4646621,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,105-4076279-7474633,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$9.00,11-Apr-16,112-3582400-8659459,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$8.18,-$7.24,,,,,,
-$9.00,11-Apr-16,108-1721907-2431469,22-Q94M-YDGP,"Order Payment","Product charges",,$59.98,2,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",-$8.18,-$7.24,,,,,,
-$5.85,11-Apr-16,111-1653501-8817804,RO-6RXH-KT8V,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Ivory)",-$3.18,-$6.21,,,,-$1.00,,
-$4.50,11-Apr-16,103-2730517-0813030,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,106-2101501-7527460,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,$3.99,,-$3.99,
-$6.00,11-Apr-16,002-1828521-2093848,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,$0.00,-$5.43,$5.43,,,
-$6.00,11-Apr-16,105-6097260-4823412,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$6.00,11-Apr-16,107-8297362-5284200,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$3.00,11-Apr-16,112-1666583-2284226,32-P5XA-EGJY,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (teal)",-$1.06,-$0.96,$0.00,-$1.77,$1.77,-$1.00,,
-$4.50,11-Apr-16,110-4716253-0713867,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$6.00,11-Apr-16,116-4373311-3062607,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$4.50,11-Apr-16,002-0683093-3299439,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,11-Apr-16,109-9164195-3955402,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$6.00,11-Apr-16,108-9403357-8165000,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$9.00,10-Apr-16,102-7189825-7491469,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$8.18,-$7.24,,,,,,
-$4.50,10-Apr-16,103-8833975-8455437,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,$0.00,-$2.53,$2.53,,,
-$4.50,10-Apr-16,107-5792518-4446667,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$4.50,10-Apr-16,108-1691737-9888253,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$6.00,10-Apr-16,104-6736133-5961829,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$4.50,10-Apr-16,105-2530354-1184253,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,,,,
-$4.50,10-Apr-16,111-7432888-7749033,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,-$3.25,$3.25,,,
-$4.50,9-Apr-16,002-1468230-7281054,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,-$1.88,$1.88,,,
-$3.56,9-Apr-16,111-4966031-5232267,VG6-VKY-SRF,"Order Payment","Product charges",,$23.70,2,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",-$2.12,-$3.90,,,,-$1.00,,
-$4.50,9-Apr-16,107-9898289-1214642,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,$4.05,,-$4.05,
-$4.50,9-Apr-16,112-7312386-2197828,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$4.09,-$3.62,,,$3.99,,-$3.99,
-$4.50,9-Apr-16,112-7912768-5309032,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,,,,,
-$6.00,9-Apr-16,113-6848465-9439442,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",-$4.09,-$4.01,,,,,,
-$3.75,9-Apr-16,114-1883289-2006603,BQ-4FEP-C3OH,"Order Payment","Product charges",,$24.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,$0.00,-$2.67,$2.67,,,
-$4.50,9-Apr-16,105-7222425-6112202,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$2.55,9-Apr-16,116-0484934-8821814,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",-$1.06,-$0.96,,,,-$1.00,,
-$4.50,9-Apr-16,116-7895774-6990609,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$9.00,8-Apr-16,105-9986078-6536243,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",-$8.18,-$7.24,$0.00,-$3.30,$3.30,,,
-$3.00,8-Apr-16,109-8424849-6693065,32-P5XA-EGJY,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (teal)",-$1.06,-$0.96,,,$11.14,-$1.00,-$11.14,
-$4.50,8-Apr-16,110-0869940-7079428,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$4.09,-$3.62,,,,,,
-$9.00,8-Apr-16,108-3106664-6039452,BQ-4FEP-C3OH,"Order Payment","Product charges",,$59.98,2,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",-$8.18,-$7.24,$0.00,-$6.49,$6.49,,,
